TOWN,TYPE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL AVERAGE,
Andover,LF,"1,936","1,940","1,947","1,930","1,954","1,961","1,986","1,955","1,951","1,969","1,965","1,962","1,955",
,EMP,"1,841","1,851","1,863","1,865","1,886","1,892","1,910","1,890","1,895","1,915","1,924","1,920","1,888",
,UN,95,89,84,65,68,69,76,65,56,54,41,42,67,
,RT,4.9,4.6,4.3,3.4,3.5,3.5,3.8,3.3,2.9,2.7,2.1,2.1,3.4,
,,,,,,,,,,,,,,,
Ansonia,LF,"9,184","9,161","9,216","9,170","9,282","9,397","9,548","9,423","9,260","9,256","9,344","9,275","9,293",
,EMP,"8,528","8,557","8,626","8,652","8,758","8,843","8,970","8,846","8,786","8,819","8,929","8,889","8,767",
,UN,656,604,590,518,524,554,578,577,474,437,415,386,526,
,RT,7.1,6.6,6.4,5.6,5.6,5.9,6.1,6.1,5.1,4.7,4.4,4.2,5.7,
,,,,,,,,,,,,,,,
Ashford,LF,"2,547","2,574","2,589","2,558","2,613","2,614","2,629","2,593","2,572","2,592","2,593","2,597","2,590",
,EMP,"2,425","2,438","2,455","2,456","2,485","2,492","2,516","2,490","2,497","2,523","2,534","2,530","2,487",
,UN,122,136,134,102,128,122,113,103,75,69,59,67,103,
,RT,4.8,5.3,5.2,4.0,4.9,4.7,4.3,4.0,2.9,2.7,2.3,2.6,4.0,
,,,,,,,,,,,,,,,
Avon ,LF,"9,321","9,358","9,397","9,396","9,534","9,583","9,617","9,490","9,524","9,617","9,623","9,605","9,506",
,EMP,"8,992","9,040","9,102","9,109","9,214","9,241","9,329","9,232","9,259","9,356","9,397","9,380","9,221",
,UN,329,318,295,287,320,342,288,258,265,261,226,225,285,
,RT,3.5,3.4,3.1,3.1,3.4,3.6,3.0,2.7,2.8,2.7,2.3,2.3,3.0,
,,,,,,,,,,,,,,,
Barkhamsted,LF,"2,311","2,314","2,318","2,300","2,320","2,337","2,370","2,339","2,335","2,335","2,331","2,342","2,329",
,EMP,"2,180","2,186","2,202","2,205","2,230","2,242","2,273","2,249","2,250","2,262","2,278","2,278","2,236",
,UN,131,128,116,95,90,95,97,90,85,73,53,64,93,
,RT,5.7,5.5,5.0,4.1,3.9,4.1,4.1,3.8,3.6,3.1,2.3,2.7,4.0,
,,,,,,,,,,,,,,,
Beacon Falls ,LF,"3,488","3,492","3,508","3,485","3,537","3,570","3,602","3,542","3,542","3,543","3,559","3,566","3,536",
,EMP,"3,312","3,325","3,357","3,359","3,407","3,425","3,453","3,398","3,421","3,448","3,467","3,467","3,403",
,UN,176,167,151,126,130,145,149,144,121,95,92,99,133,
,RT,5.0,4.8,4.3,3.6,3.7,4.1,4.1,4.1,3.4,2.7,2.6,2.8,3.8,
,,,,,,,,,,,,,,,
Berlin ,LF,"11,710","11,743","11,792","11,751","11,860","11,903","12,008","11,852","11,863","11,978","11,999","12,003","11,872",
,EMP,"11,173","11,233","11,310","11,318","11,449","11,483","11,592","11,472","11,505","11,626","11,676","11,656","11,458",
,UN,537,510,482,433,411,420,416,380,358,352,323,347,414,
