TOWN,TYPE,2018,2017,2016,2015,2014,2013,2012
Andover,LF,"1,955","1,937","1,939","1,934","1,937","1,906","1,953"
Andover,EMP,"1,888","1,865","1,853","1,842","1,825","1,776","1,801"
Andover,UN,67,72,86,92,112,130,152
Andover,RT,3.4,3.7,4.4,4.8,5.8,6.8,7.8
,,,,,,,,
Ansonia,LF,"9,293","9,289","9,330","9,369","9,412","9,370","9,908"
Ansonia,EMP,"8,767","8,680","8,694","8,636","8,582","8,420","8,766"
Ansonia,UN,526,609,636,733,830,950,"1,142"
Ansonia,RT,5.7,6.6,6.8,7.8,8.8,10.1,11.5
,,,,,,,,
Ashford,LF,"2,590","2,570","2,556","2,542","2,538","2,524","2,606"
Ashford,EMP,"2,487","2,457","2,433","2,420","2,395","2,342","2,377"
Ashford,UN,103,113,123,122,143,182,229
Ashford,RT,4.0,4.4,4.8,4.8,5.6,7.2,8.8
,,,,,,,,
Avon ,LF,"9,506","9,423","9,373","9,336","9,297","9,093","9,259"
Avon ,EMP,"9,221","9,109","9,043","8,990","8,879","8,622","8,698"
Avon ,UN,285,314,330,346,418,471,561
Avon ,RT,3.0,3.3,3.5,3.7,4.5,5.2,6.1
,,,,,,,,
Barkhamsted,LF,"2,329","2,312","2,306","2,303","2,296","2,277","2,354"
Barkhamsted,EMP,"2,236","2,206","2,202","2,192","2,173","2,135","2,173"
Barkhamsted,UN,93,106,104,111,123,142,181
Barkhamsted,RT,4.0,4.6,4.5,4.8,5.4,6.2,7.7
,,,,,,,,
Beacon Falls ,LF,"3,536","3,506","3,475","3,446","3,449","3,367","3,474"
Beacon Falls ,EMP,"3,403","3,353","3,300","3,259","3,215","3,130","3,183"
Beacon Falls ,UN,133,153,175,187,234,237,291
Beacon Falls ,RT,3.8,4.4,5.0,5.4,6.8,7.0,8.4
,,,,,,,,
Berlin ,Berlin ,"11,872","11,774","11,722","11,724","11,685","11,462","11,694"
Berlin ,EMP,"11,458","11,319","11,226","11,162","11,046","10,739","10,815"
Berlin ,UN,414,455,496,562,639,723,879
Berlin ,RT,3.5,3.9,4.2,4.8,5.5,6.3,7.5
,,,,,,,,
Bethany,LF,"3,126","3,112","3,087","3,075","3,098","3,024","3,082"
Bethany,EMP,"3,022","2,992","2,963","2,938","2,917","2,843","2,872"
Bethany,UN,104,120,124,137,181,181,210
Bethany,RT,3.3,3.9,4.0,4.5,5.8,6.0,6.8
,,,,,,,,
Bethel,LF,"10,881","10,869","10,837","10,734","10,619","10,403","10,724"
Bethel,EMP,"10,504","10,443","10,372","10,235","10,048","9,710","9,909"
Bethel,UN,377,426,465,499,571,693,815
Bethel,RT,3.5,3.9,4.3,4.6,5.4,6.7,7.6
,,,,,,,,
Bethlehem,LF,"1,966","1,961","1,961","1,957","1,978","1,956","2,014"
Bethlehem,EM,"1,891","1,863","1,859","1,855","1,852","1,831","1,865"
Bethlehem,UN,75,98,102,102,126,125,149
Bethlehem,RT,3.8,5.0,5.2,5.2,6.4,6.4,7.4
,,,,,,,,
Bloomfield,LF,"11,922","11,894","11,404","11,452","11,427","11,205","11,460"
Bloomfield,EMP,"11,412","11,274","10,784","10,748","10,647","10,287","10,399"
Bloomfield,UN,510,620,620,704,780,918,"1,061"
Bloomfield,RT,4.3,5.2,5.4,6.1,6.8,8.2,9.3
,,,,,,,,
Bolton,LF,"3,189","3,174","3,168","3,164","3,138","3,089","3,175"
Bolton,EMP,"3,100","3,063","3,047","3,032","2,996","2,913","2,958"
Bolton,UN,89,111,121,132,142,176,217
Bolton,RT,2.8,3.5,3.8,4.2,4.5,5.7,6.8
,,,,,,,,
Bozrah ,LF,"1,450","1,448","1,431","1,434","1,447","1,456","1,517"
Bozrah ,EMP,"1,394","1,386","1,365","1,357","1,352","1,341","1,392"
Bozrah ,UN,56,62,66,77,95,115,125
Bozrah ,RT,3.9,4.3,4.6,5.4,6.6,7.9,8.2
,,,,,,,,
Branford ,LF,"16,129","16,070","15,966","15,936","15,922","15,536","15,903"
Branford ,EMP,"15,546","15,391","15,224","15,095","14,972","14,447","14,582"
Branford ,UN,583,679,742,841,950,"1,089","1,321"
Branford ,RT,3.6,4.2,4.6,5.3,6.0,7.0,8.3
,,,,,,,,
Bridgeport ,LF,"69,676","69,620","70,241","70,799","70,926","70,382","73,281"
Bridgeport ,EMP,"65,472","64,821","64,921","64,815","64,042","62,468","64,336"
Bridgeport ,UN,"4,204","4,799","5,320","5,984","6,884","7,914","8,945"
Bridgeport ,RT,6.0,6.9,7.6,8.5,9.7,11.2,12.2
,,,,,,,,
Bridgewater,LF,836,836,838,843,858,847,868
Bridgewater,EMP,809,804,808,807,806,793,817
Bridgewater,UN,27,32,30,36,52,54,51
Bridgewater,RT,3.2,3.8,3.6,4.3,6.1,6.4,5.9
,,,,,,,,
Bristol ,LF,"33,221","33,048","32,893","33,069","32,987","32,488","33,227"
Bristol ,EMP,"31,702","31,318","31,030","30,919","30,585","29,760","30,149"
Bristol ,UN,"1,519","1,730","1,863","2,150","2,402","2,728","3,078"
Bristol ,RT,4.6,5.2,5.7,6.5,7.3,8.4,9.3
,,,,,,,,
Brookfield,LF,"9,336","9,315","9,339","9,308","9,247","8,983","9,289"
Brookfield,EMP,"9,006","8,954","8,954","8,904","8,767","8,423","8,608"
Brookfield,UN,330,361,385,404,480,560,681
